Samples	SBSCNVA
PD53330a	0.00E+00
PD53332a	0.00E+00
PD53332c	0.00E+00
PD53333a	0.00E+00
PD53333c	0.00E+00
PD53333d	0.00E+00
PD53333e	0.00E+00
PD53343a	0.00E+00
PD53343c	0.00E+00
PD53343d	0.00E+00
PD53343e	0.00E+00
PD53343f	0.00E+00
PD53343g	0.00E+00
PD53347a	0.00E+00
PD53349a	0.00E+00
PD53349c	0.00E+00
PD53350a	0.00E+00
PD53350c	0.00E+00
PD53352a	0.00E+00
PD53352c	0.00E+00
PD53355a	0.00E+00
PD53357a	0.00E+00
PD53359a	0.00E+00
PD53364a	0.00E+00
