Samples	SBSCNVA
PD53330a	150
PD53332a	244
PD53332c	362
PD53333a	234
PD53333c	209
PD53333d	228
PD53333e	197
PD53343a	142
PD53343c	171
PD53343d	226
PD53343e	268
PD53343f	177
PD53343g	180
PD53347a	299
PD53349a	173
PD53349c	189
PD53350a	241
PD53350c	295
PD53352a	174
PD53352c	173
PD53355a	193
PD53357a	182
PD53359a	151
PD53364a	260
