MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI
0:homdel:0-100kb	0.0008806757392127551	0.0007764918273591803	0.0006611665405700884	0.0004272999521919907	0.0013452697562622263	0.003922004123890162	0.0026248336866157196	0.0007270514028961727	0.01153928426613433
0:homdel:100kb-1Mb	1.6804743012244215e-07	0.00014379933197258054	0.0006411505365599623	0.0015175868145238525	0.0007134346387725543	0.005964497097988506	0.004859478212938484	0.004502094957125636	0.03527981477100908
0:homdel:>1Mb	0.00015529356793887673	4.1426444663539286e-07	8.083633922240097e-07	0.004849115143235352	0.0032046414913609934	0.020821431181974326	0.0021009559089468157	3.377112605829069e-07	0.13662460167570686
1:LOH:0-100kb	0.0003453339817342282	0.0008312625695258191	0.0019382408453239464	0.0049688499890446994	0.0016811442976049661	0.0013374760660133233	6.090400662714046e-05	8.927463581919426e-05	0.0025679294332756797
1:LOH:100kb-1Mb	0.006734173807940636	0.0027586544820617574	0.00554805559395632	0.012846169472346673	0.004502488753908267	0.027128525618463753	0.0011851809231740163	0.005913895226620269	0.007824531508242104
1:LOH:1Mb-10Mb	0.02952338172975473	0.003304704607136344	0.0008428094051208746	0.018527201812352134	0.001394452630660794	0.14983615773792508	0.0012401220632437316	0.004027489379533158	0.030985592612071285
1:LOH:10Mb-40Mb	0.006452413173927738	0.0004263802219773183	2.486255269900539e-05	0.029541247459428918	0.0009448172818373735	0.08701845810150473	0.0012829577965449257	1.4360675709923498e-07	0.04115728933045403
1:LOH:>40Mb	1.535865109755008e-05	0.00024626627731443306	1.6270551682850965e-07	0.03238728958715797	3.194361563654269e-05	0.03699203861728563	0.009405843725397602	1.643672977991173e-07	0.007066885647537333
2:LOH:0-100kb	0.002061730186893271	0.000687793393190006	0.013037717513761322	0.0019118623304958504	0.0020179002240107023	0.0016527577023080654	8.605417705709328e-05	1.0263389427009884e-05	0.003863565456579181
2:LOH:100kb-1Mb	0.01927014642781785	0.03856702185751601	0.08861130675006279	0.002519372171855139	0.01679125351447851	0.006145702529063896	0.0027764152906282645	0.001573369104128517	0.01106708162332943
2:LOH:1Mb-10Mb	0.05690261262934655	0.06646659006015397	0.10011273625306785	0.011929712137498428	0.04905468320858107	0.018643032477257293	0.06294258650081247	0.001675249058753252	0.030544212667628586
2:LOH:10Mb-40Mb	0.029484384017866804	0.022044804717827448	0.07133817221631773	0.0013072444859164988	0.043610569930651766	0.007442856642883271	0.014086600794585138	0.0005530586717218	0.007844067355744073
2:LOH:>40Mb	0.011204378144674081	0.004606822701872488	0.014585596763157866	0.00811670848849161	0.049228890676888	0.005595377762972618	0.005641807756355827	0.01600756001917688	0.01730081136787277
