Samples	SBSCNVA	SBSCNVB	SBSCNVC
PD53330a	0	6	144
PD53332a	32	2	210
PD53332c	0	0	362
PD53333a	214	18	2
PD53333c	199	0	10
PD53333d	218	3	7
PD53333e	193	0	4
PD53343a	112	30	0
PD53343c	112	59	0
PD53343d	155	71	0
PD53343e	175	84	9
PD53343f	111	65	1
PD53343g	118	62	0
PD53347a	0	299	0
PD53349a	108	59	6
PD53349c	111	48	30
PD53350a	155	85	1
PD53350c	190	96	9
PD53352a	170	0	4
PD53352c	170	0	3
PD53355a	156	23	14
PD53357a	94	73	15
PD53359a	125	19	7
PD53364a	206	21	33
