Sample Names	MutationType	CN1	CN2	CN6	CN7	CN8	CN9	CN17
PD53330c	0:homdel:0-100kb	0.11073279824264477	0.0	0.0	0.0	0.0	0.8892672017573551	0.0
PD53330c	0:homdel:100kb-1Mb	0.09329839516475191	0.0	0.0	0.0	0.0	0.906701604835248	0.0
PD53330c	0:homdel:>1Mb	0.1330818379142046	0.0	0.0	0.0	0.0	0.8669181620857954	0.0
PD53330c	1:LOH:0-100kb	0.07982584651908464	0.0	0.0	0.0	0.0	0.9201741534809155	0.0
PD53330c	1:LOH:100kb-1Mb	0.05052054300268464	0.0	0.0	0.0	0.0	0.9494794569973153	0.0
PD53330c	1:LOH:1Mb-10Mb	0.06367035173865834	0.0	0.0	0.0	0.0	0.9363296482613417	0.0
PD53330c	1:LOH:10Mb-40Mb	0.26044070888592463	0.0	0.0	0.0	0.0	0.7395592911140754	0.0
PD53330c	1:LOH:>40Mb	0.6075467749222084	0.0	0.0	0.0	0.0	0.3924532250777915	0.0
PD53330c	2:LOH:0-100kb	0.14066689557766318	0.0	0.0	0.0	0.0	0.8593331044223368	0.0
PD53330c	2:LOH:100kb-1Mb	0.1506056173768713	0.0	0.0	0.0	0.0	0.8493943826231287	0.0
PD53330c	2:LOH:1Mb-10Mb	0.1784755122099869	0.0	0.0	0.0	0.0	0.8215244877900131	0.0
PD53330c	2:LOH:10Mb-40Mb	0.3313968207396907	0.0	0.0	0.0	0.0	0.6686031792603092	0.0
PD53330c	2:LOH:>40Mb	0.7422727493332381	0.0	0.0	0.0	0.0	0.2577272506667619	0.0
PD53330c	3-4:LOH:0-100kb	0.2993084964530891	0.0	0.0	0.0	0.0	0.700691503546911	0.0
PD53330c	3-4:LOH:100kb-1Mb	0.24942380287920596	0.0	0.0	0.0	0.0	0.750576197120794	0.0
PD53330c	3-4:LOH:1Mb-10Mb	0.19973617961312617	0.0	0.0	0.0	0.0	0.8002638203868739	0.0
PD53330c	3-4:LOH:10Mb-40Mb	0.04005976722415837	0.0	0.0	0.0	0.0	0.9599402327758416	0.0
PD53330c	3-4:LOH:>40Mb	0.7772206923878373	0.0	0.0	0.0	0.0	0.22277930761216272	0.0
PD53330c	5-8:LOH:0-100kb	0.34656284582551533	0.0	0.0	0.0	0.0	0.6534371541744847	0.0
PD53330c	5-8:LOH:100kb-1Mb	0.12585337645828115	0.0	0.0	0.0	0.0	0.8741466235417188	0.0
PD53330c	5-8:LOH:1Mb-10Mb	0.15128113759076986	0.0	0.0	0.0	0.0	0.8487188624092301	0.0
PD53330c	5-8:LOH:10Mb-40Mb	0.13066285264522848	0.0	0.0	0.0	0.0	0.8693371473547714	0.0
PD53330c	5-8:LOH:>40Mb	0.329924002492783	0.0	0.0	0.0	0.0	0.670075997507217	0.0
PD53330c	9+:LOH:0-100kb	0.09102749517890499	0.0	0.0	0.0	0.0	0.908972504821095	0.0
PD53330c	9+:LOH:100kb-1Mb	0.1592631973890678	0.0	0.0	0.0	0.0	0.8407368026109322	0.0
PD53330c	9+:LOH:1Mb-10Mb	0.16550249099468795	0.0	0.0	0.0	0.0	0.8344975090053119	0.0
PD53330c	9+:LOH:10Mb-40Mb	0.2659158545836494	0.0	0.0	0.0	0.0	0.7340841454163506	0.0
PD53330c	9+:LOH:>40Mb	0.2561088772038354	0.0	0.0	0.0	0.0	0.7438911227961645	0.0
PD53330c	2:het:0-100kb	0.024949662923798115	0.0	0.0	0.0	0.0	0.9750503370762019	0.0
PD53330c	2:het:100kb-1Mb	0.023089691205371455	0.0	0.0	0.0	0.0	0.9769103087946285	0.0
PD53330c	2:het:1Mb-10Mb	0.05761524060032065	0.0	0.0	0.0	0.0	0.9423847593996795	0.0
PD53330c	2:het:10Mb-40Mb	0.3292624715692446	0.0	0.0	0.0	0.0	0.6707375284307554	0.0
PD53330c	2:het:>40Mb	0.9819183625160087	0.0	0.0	0.0	0.0	0.018081637483991244	0.0
PD53330c	3-4:het:0-100kb	0.0772591239140836	0.0	0.0	0.0	0.0	0.9227408760859163	0.0
PD53330c	3-4:het:100kb-1Mb	0.029576424465353843	0.0	0.0	0.0	0.0	0.9704235755346463	0.0
PD53330c	3-4:het:1Mb-10Mb	0.022125797819686988	0.0	0.0	0.0	0.0	0.977874202180313	0.0
PD53330c	3-4:het:10Mb-40Mb	0.18489144847318428	0.0	0.0	0.0	0.0	0.8151085515268157	0.0
PD53330c	3-4:het:>40Mb	0.5146703669842383	0.0	0.0	0.0	0.0	0.4853296330157617	0.0
PD53330c	5-8:het:0-100kb	0.1965500724833899	0.0	0.0	0.0	0.0	0.8034499275166102	0.0
PD53330c	5-8:het:100kb-1Mb	0.046639282085044864	0.0	0.0	0.0	0.0	0.9533607179149551	0.0
PD53330c	5-8:het:1Mb-10Mb	0.09248809912848091	0.0	0.0	0.0	0.0	0.907511900871519	0.0
PD53330c	5-8:het:10Mb-40Mb	0.022866390321666305	0.0	0.0	0.0	0.0	0.9771336096783336	0.0
PD53330c	5-8:het:>40Mb	0.41908752382183884	0.0	0.0	0.0	0.0	0.5809124761781612	0.0
PD53330c	9+:het:0-100kb	0.034302951817594705	0.0	0.0	0.0	0.0	0.9656970481824053	0.0
PD53330c	9+:het:100kb-1Mb	0.04074019596144758	0.0	0.0	0.0	0.0	0.9592598040385524	0.0
PD53330c	9+:het:1Mb-10Mb	0.11601994377970036	0.0	0.0	0.0	0.0	0.8839800562202996	0.0
PD53330c	9+:het:10Mb-40Mb	0.030681646430550658	0.0	0.0	0.0	0.0	0.9693183535694493	0.0
PD53330c	9+:het:>40Mb	0.1860500037540356	0.0	0.0	0.0	0.0	0.8139499962459643	0.0
PD53332d	0:homdel:0-100kb	0.0	0.6258745300868271	0.0	0.0	0.0	0.0	0.3741254699131729
PD53332d	0:homdel:100kb-1Mb	0.0	0.837053743397636	0.0	0.0	0.0	0.0	0.16294625660236398
PD53332d	0:homdel:>1Mb	0.0	0.7295594041382795	0.0	0.0	0.0	0.0	0.27044059586172065
PD53332d	1:LOH:0-100kb	0.0	0.5587679693650889	0.0	0.03216224532007949	0.0	0.0	0.4090697853148317
PD53332d	1:LOH:100kb-1Mb	0.0	0.3383876802540909	0.0	0.3959854409643416	0.0	0.0	0.2656268787815676
PD53332d	1:LOH:1Mb-10Mb	0.0	0.05270677712105645	0.0	0.005623293812409048	0.0	0.0	0.9416699290665346
PD53332d	1:LOH:10Mb-40Mb	0.0	0.0823551957268246	0.0	5.002624782971274e-06	0.0	0.0	0.9176398016483924
PD53332d	1:LOH:>40Mb	0.0	0.9895609891250706	0.0	0.0	0.0	0.0	0.010439010874929336
PD53332d	2:LOH:0-100kb	0.0	0.34998668870516736	0.0	0.5730899050355056	0.0	0.0	0.07692340625932709
PD53332d	2:LOH:100kb-1Mb	0.0	0.7278107966197138	0.0	0.2494015883692587	0.0	0.0	0.022787615011027523
PD53332d	2:LOH:1Mb-10Mb	0.0	0.2729736054037353	0.0	0.0546254188430331	0.0	0.0	0.6724009757532317
PD53332d	2:LOH:10Mb-40Mb	0.0	0.37632499908575995	0.0	0.00043423789753519257	0.0	0.0	0.623240763016705
PD53332d	2:LOH:>40Mb	0.0	0.9017096849556305	0.0	0.0	0.0	0.0	0.09829031504436946
PD53332d	3-4:LOH:0-100kb	0.0	0.2361525075113341	0.0	0.5364153060234171	0.0	0.0	0.22743218646524868
PD53332d	3-4:LOH:100kb-1Mb	0.0	0.3413317840267857	0.0	0.08441151248080783	0.0	0.0	0.5742567034924065
PD53332d	3-4:LOH:1Mb-10Mb	0.0	0.11832206013504802	0.0	0.003004779953970729	0.0	0.0	0.8786731599109813
PD53332d	3-4:LOH:10Mb-40Mb	0.0	0.17324413294336272	0.0	1.8899615911229444e-05	0.0	0.0	0.8267369674407259
PD53332d	3-4:LOH:>40Mb	0.0	0.8876703059322684	0.0	0.0005040134594157549	0.0	0.0	0.11182568060831591
PD53332d	5-8:LOH:0-100kb	0.0	0.15281228161195323	0.0	0.733380840143451	0.0	0.0	0.11380687824459576
PD53332d	5-8:LOH:100kb-1Mb	0.0	0.16624806685005755	0.0	0.4876935350299686	0.0	0.0	0.34605839811997374
PD53332d	5-8:LOH:1Mb-10Mb	0.0	0.1992224621018468	0.0	0.004411232716521575	0.0	0.0	0.7963663051816318
