NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	50.495	24.84	12.577	22.396	0.08	0.963	20000.0
2	51.496	25.222	13.279	22.779	0.078	0.962	30000.0
3	52.849	25.963	13.503	23.612	0.084	0.957	50000.0
4	48.645	23.534	11.951	20.987	0.071	0.967	60000.0
5	47.231	23.265	11.889	20.979	0.073	0.967	30000.0
6	50.194	24.616	12.693	22.265	0.078	0.964	40000.0
7	51.521	25.155	13.01	22.353	0.083	0.96	60000.0
8	49.587	24.452	12.708	21.99	0.079	0.964	40000.0
9	50.888	24.964	13.138	22.686	0.078	0.962	40000.0
10	52.839	26.065	13.556	23.379	0.087	0.958	30000.0
11	45.175	22.596	11.208	20.206	0.069	0.968	40000.0
12	47.656	23.194	12.631	21.839	0.07	0.965	20000.0
13	52.251	25.455	13.461	23.396	0.076	0.96	20000.0
14	50.053	24.64	12.919	22.559	0.077	0.962	40000.0
15	48.14	23.664	12.013	21.298	0.073	0.963	20000.0
16	51.051	24.484	13.561	22.734	0.073	0.962	30000.0
17	49.344	24.293	12.497	22.077	0.074	0.964	70000.0
18	49.085	24.426	12.422	21.798	0.076	0.962	30000.0
19	46.344	22.952	12.292	21.602	0.07	0.964	40000.0
20	49.219	23.968	12.604	22.315	0.072	0.961	20000.0
21	50.568	24.505	12.522	21.647	0.074	0.964	20000.0
22	51.341	25.165	13.589	23.376	0.076	0.959	30000.0
23	52.848	25.624	13.274	23.181	0.079	0.961	20000.0
24	51.694	25.667	12.924	23.086	0.081	0.958	30000.0
25	47.487	23.261	11.788	20.735	0.071	0.968	30000.0
26	49.306	24.174	12.744	22.212	0.076	0.964	30000.0
27	50.399	24.799	12.725	22.56	0.077	0.962	40000.0
28	49.072	23.675	12.224	21.138	0.071	0.967	30000.0
29	50.038	24.258	12.968	22.017	0.076	0.965	50000.0
30	48.102	23.742	12.257	21.723	0.069	0.965	30000.0
31	50.094	24.38	12.308	21.553	0.078	0.964	80000.0
32	54.522	26.987	13.383	23.638	0.089	0.958	20000.0
33	49.643	24.506	12.352	21.656	0.076	0.965	30000.0
34	50.188	24.68	13.082	22.797	0.074	0.96	70000.0
35	53.636	26.795	13.833	24.524	0.086	0.954	30000.0
36	48.64	24.424	11.95	21.575	0.078	0.965	30000.0
37	49.937	24.416	12.809	22.068	0.075	0.964	30000.0
38	46.141	22.722	11.577	20.167	0.071	0.968	30000.0
39	48.887	23.988	12.148	21.562	0.076	0.964	40000.0
40	49.235	23.659	12.524	21.513	0.074	0.964	40000.0
41	51.825	25.471	13.402	23.667	0.079	0.957	40000.0
42	49.472	24.003	12.142	20.707	0.076	0.969	30000.0
43	48.143	23.65	11.896	21.102	0.074	0.967	20000.0
44	53.912	26.383	13.572	23.545	0.083	0.959	30000.0
45	46.931	22.659	11.769	20.157	0.064	0.97	30000.0
46	52.444	25.928	13.072	22.811	0.082	0.961	20000.0
47	48.975	23.914	12.47	21.454	0.072	0.965	30000.0
48	49.372	23.918	12.528	21.71	0.072	0.964	40000.0
