NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	50.083	24.274	13.173	22.383	0.07	0.962	20000.0
2	49.268	23.621	12.51	21.564	0.069	0.966	30000.0
3	47.552	23.454	11.882	20.939	0.067	0.966	30000.0
4	53.149	25.834	13.657	23.598	0.082	0.959	40000.0
5	48.621	23.658	12.164	21.321	0.071	0.964	40000.0
6	50.283	24.939	12.844	22.758	0.075	0.961	50000.0
7	48.622	24.012	12.453	22.111	0.067	0.963	30000.0
8	49.769	24.343	12.703	21.962	0.073	0.965	20000.0
9	51.816	25.458	13.245	22.961	0.078	0.959	40000.0
10	51.388	25.057	13.193	22.86	0.076	0.962	50000.0
11	50.047	24.399	12.674	22.009	0.075	0.965	40000.0
12	51.869	25.173	13.518	22.969	0.082	0.959	30000.0
13	49.586	23.973	12.436	21.774	0.072	0.965	40000.0
14	51.252	25.131	12.867	21.955	0.079	0.966	40000.0
15	53.06	25.647	13.178	23.172	0.076	0.958	20000.0
16	48.06	23.076	12.155	20.627	0.072	0.97	30000.0
17	50.907	24.748	13.038	22.388	0.076	0.962	50000.0
18	50.218	24.507	13.002	22.597	0.077	0.962	30000.0
19	49.677	24.461	12.522	22.021	0.078	0.965	30000.0
20	48.874	24.282	12.32	21.816	0.077	0.964	50000.0
21	47.691	23.514	11.84	21.196	0.07	0.966	30000.0
22	45.116	22.225	11.083	19.415	0.064	0.97	30000.0
23	49.021	23.927	12.558	21.658	0.075	0.965	70000.0
24	48.023	23.498	12.281	21.125	0.07	0.966	20000.0
25	48.343	23.704	12.125	21.439	0.076	0.963	20000.0
26	48.357	23.324	12.315	21.068	0.07	0.966	30000.0
27	48.922	23.683	12.277	21.457	0.071	0.966	50000.0
28	49.836	24.109	12.52	21.851	0.073	0.964	40000.0
29	48.944	23.497	12.433	21.242	0.07	0.966	40000.0
30	49.189	23.946	12.279	21.307	0.074	0.966	40000.0
31	47.558	23.091	12.178	20.614	0.07	0.968	50000.0
32	49.324	24.035	12.422	21.816	0.078	0.963	20000.0
33	47.365	23.314	11.511	20.348	0.076	0.969	30000.0
34	51.908	25.451	12.708	22.266	0.083	0.963	40000.0
35	52.019	25.872	13.365	23.431	0.083	0.954	70000.0
36	54.02	26.12	13.758	23.628	0.079	0.958	50000.0
37	51.364	25.001	13.252	23.159	0.077	0.96	40000.0
38	52.66	25.935	13.518	23.5	0.083	0.955	30000.0
39	47.903	23.173	11.92	20.626	0.069	0.967	30000.0
40	49.193	24.876	12.09	21.802	0.078	0.962	40000.0
41	51.6	25.555	12.897	22.95	0.08	0.959	20000.0
42	49.931	24.685	12.41	22.129	0.083	0.96	30000.0
43	52.963	26.2	13.413	23.376	0.084	0.96	50000.0
44	52.911	25.886	13.358	23.333	0.085	0.956	20000.0
45	47.975	23.603	11.892	21.042	0.072	0.966	40000.0
46	48.976	23.79	12.454	21.569	0.069	0.965	20000.0
47	50.814	24.773	13.17	22.346	0.08	0.963	30000.0
48	49.078	23.927	12.33	21.223	0.075	0.965	70000.0
49	49.872	24.312	13.28	22.711	0.073	0.96	30000.0
50	49.271	24.164	12.53	21.873	0.073	0.964	30000.0
51	48.875	24.078	12.597	21.952	0.077	0.96	20000.0
52	48.458	24.102	12.573	22.307	0.076	0.963	40000.0
53	49.258	24.08	12.914	22.668	0.073	0.961	30000.0
54	48.263	23.633	12.542	22.022	0.07	0.963	30000.0
55	47.399	23.137	12.076	21.281	0.07	0.965	30000.0
