MutationType	SBSCNVA	SBSCNVB
0:homdel:0-100kb	0.0006983229949571523	2.0411020472010931e-07
0:homdel:100kb-1Mb	0.000550387916564432	2.1828485699870725e-07
0:homdel:>1Mb	4.849797198858142e-07	3.954986476628619e-07
1:LOH:0-100kb	0.01353026763536036	0.023663590336218475
1:LOH:100kb-1Mb	0.01754632133990526	0.04152475276961923
1:LOH:1Mb-10Mb	0.007257226333931613	0.06167025294154883
1:LOH:10Mb-40Mb	2.5790474023068555e-08	0.03940030684694648
1:LOH:>40Mb	0.0016776432171542411	0.027441081907600164
2:LOH:0-100kb	0.004632714200997725	0.010461958257947117
2:LOH:100kb-1Mb	0.024644333813339473	0.02998090386390686
2:LOH:1Mb-10Mb	0.04716606300324202	0.02396618782542646
2:LOH:10Mb-40Mb	0.020814962703734636	0.019097267049364746
2:LOH:>40Mb	0.013097594883292913	0.0011497090452055937
3-4:LOH:0-100kb	0.006792053889948874	0.0012899084623068547
3-4:LOH:100kb-1Mb	0.016509939981624484	0.006356689558597282
3-4:LOH:1Mb-10Mb	0.03302157256752253	0.006684881616383791
3-4:LOH:10Mb-40Mb	0.010867060045711696	0.002912854066293469
3-4:LOH:>40Mb	0.004666162305511534	0.0017630143451211212
5-8:LOH:0-100kb	0.0025505573162809014	2.1192888929988385e-07
5-8:LOH:100kb-1Mb	0.004398711649700999	1.2786387475927086e-07
5-8:LOH:1Mb-10Mb	0.0040137911157216875	1.3613116912836175e-07
5-8:LOH:10Mb-40Mb	0.0011713166035008272	0.0019584458288396433
5-8:LOH:>40Mb	0.0009296722921442324	6.928092912694694e-05
9+:LOH:0-100kb	0.0002529184430704845	2.6086190359819737e-07
9+:LOH:100kb-1Mb	0.005861247682478279	1.0865798525827586e-07
9+:LOH:1Mb-10Mb	0.0005435326906348337	2.379317487566368e-07
9+:LOH:10Mb-40Mb	0.0001765502045844869	5.28828070243037e-05
9+:LOH:>40Mb	4.849797198858142e-07	3.954986476628619e-07
2:het:0-100kb	0.01394148332066834	0.024663849771022796
2:het:100kb-1Mb	0.007411247765412554	0.06931708861142397
2:het:1Mb-10Mb	7.905002998541207e-05	0.18404097035527228
2:het:10Mb-40Mb	0.0003032227158718026	0.09021622486412526
2:het:>40Mb	2.3449961522814533e-07	0.04446560932323337
3-4:het:0-100kb	0.0337614606320858	0.0200613434612751
3-4:het:100kb-1Mb	0.06795420348644257	0.03871129982173443
3-4:het:1Mb-10Mb	0.13921089023351668	0.0991974151879549
3-4:het:10Mb-40Mb	0.10775416143238545	0.018459247257560492
3-4:het:>40Mb	0.08438456140458583	0.0020173158616097926
5-8:het:0-100kb	0.033036837354302406	0.014047996043227613
5-8:het:100kb-1Mb	0.04564314257353544	0.023066529957577585
5-8:het:1Mb-10Mb	0.07196745797991752	0.03704016208648682
5-8:het:10Mb-40Mb	0.03556495301425457	0.010228280338924377
5-8:het:>40Mb	0.01243808142375201	7.108583120734465e-08
9+:het:0-100kb	0.021688130889087914	0.006172625806081129
9+:het:100kb-1Mb	0.047884516827762125	0.013768210969865323
9+:het:1Mb-10Mb	0.032532095722854135	0.003762977055122292
9+:het:10Mb-40Mb	0.0008597828041902744	0.0012846116704546518
9+:het:>40Mb	0.00021256740236708538	3.1913641131211534e-05
