MutationType	SBSCNVA	SBSCNVB	SBSCNVC
0:homdel:0-100kb	0.0005241244557478808	0.0012798089671311175	1.8072081338971203e-07
0:homdel:100kb-1Mb	0.0003893050299282308	0.0010567606542689135	2.0258278851770228e-07
0:homdel:>1Mb	5.110789498985469e-07	4.0616171133933674e-07	3.9164180634543297e-07
1:LOH:0-100kb	0.015130867408588529	0.00870874840895553	0.0238158755376935
1:LOH:100kb-1Mb	0.017204981436952947	0.01995241925586015	0.041919760033488275
1:LOH:1Mb-10Mb	0.007750865804264322	0.008243322983616963	0.06239391837269068
1:LOH:10Mb-40Mb	5.623748098315673e-08	3.4116421666396945e-07	0.04110836958512664
1:LOH:>40Mb	0.0023598804546895737	0.000600184448447294	0.027778245164081453
2:LOH:0-100kb	0.006566282713320107	0.0003461878365534687	0.010122778450604528
2:LOH:100kb-1Mb	0.033924616761505606	0.0036063151652254	0.02934969635680318
2:LOH:1Mb-10Mb	0.06663129510357976	0.003051152534878078	0.022770547224208713
2:LOH:10Mb-40Mb	0.02728294150903821	0.004036067825313938	0.01834448991692625
2:LOH:>40Mb	0.012980703259818255	0.01169747053442137	0.0010330722700050998
3-4:LOH:0-100kb	0.008580635692924261	0.0023017389065727654	0.0012798251166328534
3-4:LOH:100kb-1Mb	0.014739458337426186	0.02131645335815847	0.006415932317031548
3-4:LOH:1Mb-10Mb	0.030976293589919806	0.039047490954399106	0.006682002749523157
3-4:LOH:10Mb-40Mb	0.00698719292297028	0.02112838311586529	0.0029281323754683087
3-4:LOH:>40Mb	0.0041854558050090414	0.006324263044600613	0.001684727911059758
5-8:LOH:0-100kb	0.0013997519391327983	0.00551730281429677	1.1587760325504348e-07
5-8:LOH:100kb-1Mb	0.0013017846469907824	0.012350372055079788	5.922595594398672e-08
5-8:LOH:1Mb-10Mb	0.0005537377147724864	0.012998443120159209	7.760517892307916e-08
5-8:LOH:10Mb-40Mb	1.47769282854604e-05	0.004561877012988589	0.0016459218361151073
5-8:LOH:>40Mb	2.2232171905205433e-05	0.0034174473719713206	3.880696485225599e-07
9+:LOH:0-100kb	3.9427443015931374e-05	0.0008367296249350886	2.495532475421669e-07
9+:LOH:100kb-1Mb	0.007717749619610572	0.0015975784094691648	6.18293801579739e-08
9+:LOH:1Mb-10Mb	0.0007328977640122503	8.493803008366996e-05	1.9525360762884246e-07
9+:LOH:10Mb-40Mb	2.4399912518902055e-07	0.0006866808416975801	3.2878334309316416e-07
9+:LOH:>40Mb	5.110789498985469e-07	4.0616171133933674e-07	3.9164180634543297e-07
2:het:0-100kb	0.01657444631680846	0.006827078579393841	0.024409509161487222
2:het:100kb-1Mb	0.009659260336775333	0.003677259894372719	0.06963415086269378
2:het:1Mb-10Mb	0.001605309732713039	5.241637143721744e-08	0.18707575276494026
2:het:10Mb-40Mb	0.0001787228794133254	0.0012869080178756675	0.0930114733427763
2:het:>40Mb	0.00013621922796779983	3.3250105119009277e-07	0.04593350179493427
3-4:het:0-100kb	0.03538213029503822	0.028385084765031935	0.019568779366090895
3-4:het:100kb-1Mb	0.07911752708256245	0.03607934840601217	0.03832838637754321
3-4:het:1Mb-10Mb	0.15354860447347163	0.09339556228369475	0.09877247884869575
3-4:het:10Mb-40Mb	0.12306492447853089	0.056685526589863006	0.017475516917183995
3-4:het:>40Mb	0.10558882184326648	0.026052618916798168	0.0007499132236689121
5-8:het:0-100kb	0.03465689398348332	0.02842129277996719	0.01370648200972937
5-8:het:100kb-1Mb	0.04170376315712929	0.05384504746645689	0.022780502000823617
5-8:het:1Mb-10Mb	0.03205684570595622	0.17627260595560074	0.036818726249039174
5-8:het:10Mb-40Mb	0.004420384910625916	0.11733347855508328	0.00839580029287049
5-8:het:>40Mb	0.00856669026623763	0.021919556087814273	1.312431187727725e-08
9+:het:0-100kb	0.028233790593221782	0.005667751440911672	0.006069053562823683
9+:het:100kb-1Mb	0.040105035617016255	0.0716086489148438	0.013242231290304858
9+:het:1Mb-10Mb	0.017401826941973012	0.07366870319470763	0.0037264133568830006
9+:het:10Mb-40Mb	4.63592099930743e-09	0.0033420519495969358	0.0010250662791612087
9+:het:>40Mb	2.1224153567089844e-07	0.0007818060073165611	3.067340976770083e-07
