MutationType	SBSCNVA
0:homdel:0-100kb	0.0014807276311330497
0:homdel:100kb-1Mb	0.0028986294439528135
0:homdel:>1Mb	0.007956963297910988
1:LOH:0-100kb	0.0015778621530625969
1:LOH:100kb-1Mb	0.007896037809550761
1:LOH:1Mb-10Mb	0.024221810903400184
1:LOH:10Mb-40Mb	0.01607564467936754
1:LOH:>40Mb	0.009473421862348914
2:LOH:0-100kb	0.0026799713727086783
2:LOH:100kb-1Mb	0.023833104148507117
2:LOH:1Mb-10Mb	0.05067937653511763
2:LOH:10Mb-40Mb	0.02516904512420297
2:LOH:>40Mb	0.013188127074390649
3-4:LOH:0-100kb	0.004852323168888688
3-4:LOH:100kb-1Mb	0.011445423439145088
3-4:LOH:1Mb-10Mb	0.023398943636566402
3-4:LOH:10Mb-40Mb	0.008588392361998558
3-4:LOH:>40Mb	0.003909633178263903
5-8:LOH:0-100kb	0.001489831179205794
5-8:LOH:100kb-1Mb	0.004780970690771938
5-8:LOH:1Mb-10Mb	0.007478678161278367
5-8:LOH:10Mb-40Mb	0.0028728175710421057
5-8:LOH:>40Mb	0.0007490225923538674
9+:LOH:0-100kb	0.005398870666977018
9+:LOH:100kb-1Mb	0.014393658377230167
9+:LOH:1Mb-10Mb	0.004272467840928584
9+:LOH:10Mb-40Mb	6.376094131610444e-07
9+:LOH:>40Mb	6.376094148663469e-07
2:het:0-100kb	0.008565625599585474
2:het:100kb-1Mb	0.01581441653892398
2:het:1Mb-10Mb	0.049205400310456754
2:het:10Mb-40Mb	0.05417423471808434
2:het:>40Mb	0.053116128295660016
3-4:het:0-100kb	0.013456869032233953
3-4:het:100kb-1Mb	0.03676282124593854
3-4:het:1Mb-10Mb	0.09033559784293174
3-4:het:10Mb-40Mb	0.070288907289505
3-4:het:>40Mb	0.0697302258759737
5-8:het:0-100kb	0.012098178826272487
5-8:het:100kb-1Mb	0.04064920242875814
5-8:het:1Mb-10Mb	0.06859923630952836
5-8:het:10Mb-40Mb	0.02346729936078191
5-8:het:>40Mb	0.010847326489165426
9+:het:0-100kb	0.01343408128246665
9+:het:100kb-1Mb	0.0500023826956749
9+:het:1Mb-10Mb	0.036403101664036513
9+:het:10Mb-40Mb	0.0021547450590878726
9+:het:>40Mb	0.00013118659237079555
