De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 48-A, Signature CN2 (23.34%) & Signature CN6 (12.68%) & Signature CN8 (27.26%) & Signature CN17 (36.72%), 22.81,  19.18, 0.080, 0.98, 0.97
Signature 48-B, Signature CN1 (30.12%) & Signature CN9 (69.88%), 56.70,  42.25, 0.432, 0.91, 0.88
