NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	70.474	47.215	16.846	38.833	0.248	0.889	50000.0
2	72.962	50.256	17.951	41.554	0.276	0.869	30000.0
3	71.701	47.308	17.513	39.37	0.254	0.887	50000.0
4	73.616	49.597	18.664	42.409	0.256	0.868	20000.0
5	72.039	48.576	17.558	39.524	0.262	0.887	20000.0
6	76.176	50.511	18.858	41.794	0.266	0.869	40000.0
7	69.818	47.376	17.328	39.605	0.249	0.885	30000.0
8	71.507	48.013	17.417	39.654	0.248	0.887	30000.0
9	70.672	47.007	17.502	38.895	0.236	0.889	20000.0
10	69.956	47.406	16.927	39.342	0.248	0.887	20000.0
11	72.76	49.036	18.057	41.058	0.256	0.878	50000.0
12	71.961	47.921	17.553	39.444	0.247	0.889	20000.0
13	68.94	45.77	16.369	37.497	0.235	0.896	20000.0
14	74.063	49.43	18.522	41.745	0.264	0.875	30000.0
15	71.7	48.337	17.761	40.196	0.247	0.882	30000.0
16	70.447	47.568	17.518	40.213	0.25	0.88	40000.0
17	71.119	47.617	17.324	39.433	0.243	0.887	30000.0
18	74.956	49.642	18.255	41.198	0.261	0.877	40000.0
19	74.237	49.766	18.14	41.376	0.259	0.871	60000.0
20	72.946	49.268	17.903	41.067	0.26	0.876	30000.0
21	70.943	47.773	17.692	39.846	0.246	0.885	80000.0
22	71.357	47.663	17.306	39.271	0.247	0.885	20000.0
23	71.306	48.012	17.241	39.294	0.246	0.887	30000.0
24	74.039	50.298	18.097	41.761	0.268	0.871	30000.0
25	72.015	48.606	17.604	40.044	0.249	0.886	20000.0
26	70.273	47.675	16.851	38.505	0.25	0.893	30000.0
27	70.574	48.065	17.55	40.26	0.243	0.883	80000.0
28	72.207	48.589	17.635	40.37	0.251	0.882	20000.0
29	70.469	48.096	17.207	39.721	0.251	0.886	30000.0
30	73.445	49.838	17.913	41.362	0.259	0.871	20000.0
31	73.992	50.028	18.474	42.117	0.261	0.868	40000.0
32	71.756	48.729	17.756	41.006	0.259	0.875	40000.0
33	71.466	47.68	17.656	39.914	0.246	0.884	20000.0
34	72.922	49.266	18.454	41.088	0.257	0.879	20000.0
35	69.753	47.5	17.076	39.062	0.252	0.889	20000.0
36	71.272	48.003	17.772	40.6	0.244	0.88	40000.0
37	72.6	48.63	17.949	40.495	0.25	0.879	50000.0
38	72.34	48.721	18.403	41.684	0.25	0.873	40000.0
39	75.322	50.05	18.685	42.059	0.264	0.867	20000.0
40	74.644	50.318	18.409	42.109	0.264	0.869	50000.0
41	73.902	49.839	18.244	41.421	0.26	0.877	30000.0
42	74.221	49.82	18.674	41.798	0.256	0.873	40000.0
43	73.69	49.725	18.444	41.844	0.27	0.872	30000.0
44	73.868	49.854	18.373	42.081	0.259	0.867	30000.0
45	70.862	47.463	17.798	40.926	0.25	0.874	20000.0
46	73.919	50.028	18.286	41.806	0.26	0.871	50000.0
47	71.426	48.122	17.255	39.75	0.244	0.885	20000.0
48	73.016	49.674	17.79	40.99	0.264	0.878	20000.0
49	72.878	48.717	17.904	40.591	0.254	0.878	30000.0
50	72.699	48.311	17.895	40.13	0.25	0.883	20000.0
51	71.258	48.666	17.594	40.495	0.248	0.879	30000.0
52	71.679	48.05	17.947	40.612	0.246	0.877	20000.0
53	73.925	49.785	18.204	41.17	0.267	0.879	20000.0
54	71.221	47.616	17.288	39.103	0.25	0.889	20000.0
55	69.616	47.271	17.473	39.639	0.241	0.885	30000.0
56	70.666	47.834	17.563	39.851	0.248	0.887	20000.0
57	70.843	47.828	17.461	39.761	0.244	0.888	30000.0
58	73.678	49.42	18.1	40.848	0.261	0.882	20000.0
59	72.477	48.989	17.839	40.557	0.262	0.881	40000.0
60	74.112	49.966	18.003	41.275	0.266	0.876	40000.0
61	74.907	50.484	18.471	41.665	0.261	0.874	20000.0
62	73.852	49.417	18.429	41.69	0.261	0.873	30000.0
63	71.363	48.006	17.872	40.137	0.251	0.886	20000.0
64	73.656	49.594	17.929	41.134	0.26	0.876	30000.0
65	71.983	48.138	17.741	39.634	0.256	0.887	20000.0
66	71.802	48.853	17.326	40.411	0.257	0.879	20000.0
67	74.307	49.391	18.463	41.229	0.259	0.876	50000.0
68	72.869	48.955	17.914	40.686	0.256	0.878	30000.0
69	73.956	50.052	18.557	41.895	0.255	0.87	30000.0
70	71.773	48.353	17.722	40.244	0.254	0.88	30000.0
71	73.894	49.355	18.102	41.067	0.254	0.879	40000.0
72	71.642	48.396	17.94	40.252	0.26	0.881	30000.0
73	73.406	49.378	18.341	41.284	0.258	0.878	30000.0
74	72.77	49.68	18.311	41.923	0.261	0.871	20000.0
75	73.321	49.748	18.083	41.19	0.263	0.874	30000.0
76	72.575	48.401	17.95	40.55	0.254	0.879	20000.0
77	71.42	48.498	17.472	39.758	0.254	0.887	20000.0
78	71.7	48.55	17.998	41.49	0.254	0.871	30000.0
79	72.987	48.922	18.201	41.77	0.257	0.872	50000.0
80	73.061	48.834	17.461	39.623	0.255	0.887	20000.0
81	74.164	49.51	18.436	41.495	0.258	0.87	40000.0
82	73.518	49.885	18.639	41.772	0.266	0.873	30000.0
83	72.093	47.711	17.512	39.688	0.255	0.88	40000.0
84	75.445	50.22	18.535	41.048	0.263	0.876	40000.0
85	73.881	49.693	18.137	41.58	0.258	0.869	20000.0
86	70.96	48.648	17.28	40.222	0.255	0.883	40000.0
87	71.724	48.523	17.538	40.729	0.25	0.878	30000.0
88	73.786	49.741	18.33	41.879	0.262	0.866	40000.0
89	70.944	48.643	17.356	39.84	0.26	0.883	30000.0
90	71.688	48.33	17.66	40.159	0.26	0.879	40000.0
91	75.712	50.136	18.548	41.321	0.265	0.872	20000.0
92	70.661	47.382	17.283	39.372	0.24	0.889	30000.0
93	71.791	48.51	17.669	40.094	0.254	0.884	30000.0
94	69.943	48.121	16.916	39.525	0.261	0.885	30000.0
95	71.508	47.379	17.568	40.277	0.245	0.879	20000.0
96	74.403	49.408	18.079	41.03	0.261	0.873	30000.0
97	72.517	48.806	18.25	41.295	0.262	0.872	30000.0
98	69.648	46.256	16.843	38.085	0.239	0.891	20000.0
99	71.456	48.182	17.781	40.256	0.251	0.882	30000.0
100	71.232	48.436	17.665	40.659	0.257	0.878	30000.0
