MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD
0:homdel:0-100kb	0.00016604193151916746	0.0023680011308092473	0.001696855489232796	0.004377070919531505
0:homdel:100kb-1Mb	0.0002100733771346164	0.005960872539366449	0.003928340753054687	0.006244471931683222
0:homdel:>1Mb	0.0016626141426471718	0.020792253024659715	0.006014969853745207	0.014705677245690652
1:LOH:0-100kb	0.0014432640647014238	0.0035436615812432137	0.00032999077892068127	0.00024708468027540676
1:LOH:100kb-1Mb	0.002953424069815753	0.020105175357311964	0.0016722706846753256	0.00729088831905429
1:LOH:1Mb-10Mb	0.003088411428049653	0.07054800476878881	0.006796716195577038	0.02079257956237683
1:LOH:10Mb-40Mb	0.0005089118828746652	0.05471997721120715	0.0025214800715731302	0.0078182522464871
1:LOH:>40Mb	3.280032883960615e-05	0.032781265415251254	0.004107593172475106	0.0008540592293494598
2:LOH:0-100kb	0.004732776490948254	0.0027476352252904235	0.00012719452212378357	0.00047290374229696396
2:LOH:100kb-1Mb	0.05250251523219049	0.0046353034002912	0.0057087059456623025	0.0021469901469998833
2:LOH:1Mb-10Mb	0.09191761158406735	0.013472516025649384	0.05248747841772655	0.004436146355874371
2:LOH:10Mb-40Mb	0.053712783213704825	0.003386309790330415	0.011938071657747589	0.003639585939986887
2:LOH:>40Mb	0.01709482011385262	0.008036870875345343	0.0034418648465769108	0.02451224229881234
3-4:LOH:0-100kb	0.008635548050547755	0.004358995446489331	0.0005230673267283948	0.002169797050753424
3-4:LOH:100kb-1Mb	0.015982761716004462	0.0026335911155192094	0.004911236049564707	0.022808535115327686
3-4:LOH:1Mb-10Mb	0.010541912710425549	0.0014246120749328384	0.03564859679393351	0.07713633376639337
3-4:LOH:10Mb-40Mb	0.005758768734401855	6.011830869567802e-08	0.0031776085766654204	0.03596402629900581
3-4:LOH:>40Mb	0.0024791369714236744	0.0001654092352706371	0.0013609085244888064	0.017423963098688305
5-8:LOH:0-100kb	0.0018860778630386222	0.0003124021871201066	0.0006711067251774122	0.0035923661358194183
5-8:LOH:100kb-1Mb	0.005901992262395197	0.0009210639721577963	0.004424341873425556	0.009828358865655673
5-8:LOH:1Mb-10Mb	0.004607566973366772	0.0029351947506489574	0.0032044480063728995	0.026009872775771922
5-8:LOH:10Mb-40Mb	0.000709473961327376	6.923298008402411e-05	0.0018514798370081209	0.013920951472272236
5-8:LOH:>40Mb	2.8753852674583414e-05	0.00021425337811564304	0.002116618126807737	0.0019085331728629562
9+:LOH:0-100kb	0.0006681909851467674	0.006462698260841293	0.017628457263908784	0.005196325817470324
9+:LOH:100kb-1Mb	0.00010572861931301247	0.0004597198564002269	0.07823592287019125	0.009081425592159142
9+:LOH:1Mb-10Mb	6.164316793942248e-05	0.0024979944708846346	0.020000974866644726	0.002046609351836075
9+:LOH:10Mb-40Mb	6.163790843061179e-07	9.42804912824613e-07	4.2561130651819214e-07	4.6958863606505476e-07
9+:LOH:>40Mb	6.163790797586444e-07	9.428049077087053e-07	4.2561131426310793e-07	4.6958862554902225e-07
2:het:0-100kb	0.020070494195214224	0.0018299257462838624	0.0005173126641882675	3.6614969273429665e-07
2:het:100kb-1Mb	0.013203527973964811	0.029917049165815116	0.003869199734303977	0.011444761190960549
2:het:1Mb-10Mb	0.003074124143732604	0.1703474373370409	0.006317382328203216	0.018873185429742135
2:het:10Mb-40Mb	0.0004550225507949144	0.19790882080793382	0.004049365038542491	0.010243683479553027
2:het:>40Mb	2.623132844926921e-07	0.19914122730493544	0.002803500351294872	0.0017986710809197338
3-4:het:0-100kb	0.02845688148867339	0.004303476616925082	0.002809890799333097	0.003190666630772512
3-4:het:100kb-1Mb	0.06169103303924203	0.019793002838268875	0.02285209785331972	0.011795353600755334
3-4:het:1Mb-10Mb	0.14457470022141933	0.05410931702703237	0.037378041939810036	0.0673115032305941
3-4:het:10Mb-40Mb	0.12859717972576618	0.007104818431221354	0.04761454463842995	0.06145542294718325
3-4:het:>40Mb	0.13714057378470898	0.0072650993589377325	0.054679433318985955	0.0274932364198321
5-8:het:0-100kb	0.022198139121755958	0.0031795634620709733	0.007009646305219803	0.006291151285132344
5-8:het:100kb-1Mb	0.051470420807600024	0.025452982107028108	0.04901459694840014	0.019636480185690742
5-8:het:1Mb-10Mb	0.03424447199604401	0.009342955308694128	0.10556577655486762	0.1927647448843345
5-8:het:10Mb-40Mb	0.007498869281462106	0.00030070257682954346	0.013295433256074319	0.11479289106559008
5-8:het:>40Mb	0.012042923938109311	6.0987748895513506e-09	0.012679818773747797	0.024776525236590602
9+:het:0-100kb	0.020005125445313753	0.0017940791935893686	0.021992406953359023	0.005189053323835253
9+:het:100kb-1Mb	0.021954142001366108	0.0017658309282505514	0.20515918489545584	0.0198360984016972
9+:het:1Mb-10Mb	0.005911597846916368	0.0003767806209681979	0.1262961678765714	0.067140283521167
9+:het:10Mb-40Mb	1.540877509349059e-05	0.0005113197446294748	0.0014357916323844023	0.01070701721927051
9+:het:>40Mb	2.6910944910696345e-07	6.421122262167955e-07	0.00013326494883376228	0.00063291266941647
