NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	95.595	63.14	22.657	50.724	0.393	0.804	20000.0
2	98.619	64.864	23.852	52.624	0.409	0.789	30000.0
3	98.789	64.73	23.727	52.321	0.402	0.791	40000.0
4	94.056	62.405	23.026	50.964	0.393	0.804	20000.0
5	97.024	63.727	23.23	50.857	0.401	0.807	30000.0
6	97.77	64.45	23.456	51.487	0.41	0.799	30000.0
7	93.967	61.701	22.828	50.363	0.389	0.81	40000.0
8	97.37	63.669	23.49	51.484	0.401	0.799	20000.0
9	95.129	61.964	22.688	49.338	0.383	0.814	30000.0
10	95.403	62.794	22.755	51.298	0.394	0.802	30000.0
11	97.825	64.903	23.858	52.613	0.403	0.787	30000.0
12	98.031	63.817	23.302	50.995	0.396	0.801	30000.0
13	93.142	60.96	21.782	48.601	0.372	0.82	40000.0
14	98.379	64.063	23.221	51.168	0.404	0.801	20000.0
15	97.842	63.862	23.417	51.332	0.4	0.797	40000.0
16	96.931	63.182	23.709	51.947	0.398	0.794	50000.0
17	94.41	62.499	23.1	50.824	0.387	0.806	20000.0
18	97.242	63.718	23.479	51.726	0.407	0.796	30000.0
19	96.493	63.077	23.11	51.292	0.399	0.797	30000.0
20	97.668	64.246	23.228	51.581	0.403	0.794	30000.0
21	95.804	63.13	23.385	51.269	0.39	0.802	20000.0
22	95.253	62.56	22.79	50.315	0.394	0.807	30000.0
23	94.446	62.569	22.898	50.59	0.389	0.807	20000.0
24	98.222	64.776	23.483	52.456	0.406	0.79	20000.0
25	97.229	64.331	23.184	51.344	0.402	0.802	30000.0
26	95.849	63.373	23.274	50.907	0.393	0.805	30000.0
27	95.021	62.701	22.644	50.088	0.381	0.812	40000.0
28	97.041	63.981	23.057	51.134	0.399	0.801	30000.0
29	94.674	62.684	22.38	50.304	0.394	0.806	20000.0
30	98.099	64.883	22.819	51.183	0.407	0.799	20000.0
31	97.526	64.368	23.735	52.083	0.406	0.793	30000.0
32	96.597	63.659	23.07	51.095	0.396	0.803	20000.0
33	94.033	62.065	22.799	50.584	0.394	0.803	40000.0
34	97.797	64.155	23.947	51.762	0.393	0.805	40000.0
35	95.796	63.097	22.878	50.525	0.391	0.808	20000.0
36	96.351	62.907	22.853	50.433	0.388	0.807	40000.0
37	96.296	63.521	22.927	50.805	0.39	0.806	30000.0
38	95.686	62.766	23.118	50.879	0.394	0.804	30000.0
39	99.676	65.636	24.071	52.954	0.414	0.787	20000.0
40	99.957	65.538	23.746	52.276	0.411	0.792	30000.0
41	99.69	65.438	23.894	52.561	0.412	0.791	40000.0
42	97.644	64.289	23.888	52.019	0.403	0.798	20000.0
43	98.069	64.311	23.461	51.703	0.408	0.798	40000.0
44	97.23	63.733	23.466	52.122	0.4	0.792	40000.0
45	96.13	62.827	23.268	51.386	0.398	0.798	20000.0
46	98.447	64.445	23.385	51.72	0.399	0.798	30000.0
47	96.376	63.566	23.042	51.579	0.397	0.797	40000.0
48	97.518	64.522	23.414	52.065	0.406	0.794	20000.0
49	95.956	62.421	22.788	50.288	0.392	0.809	30000.0
50	94.439	61.98	22.567	49.763	0.387	0.813	20000.0
51	96.053	63.074	23.258	51.254	0.388	0.802	30000.0
52	96.145	63.535	23.188	51.407	0.4	0.8	40000.0
53	98.605	65.193	23.721	52.569	0.41	0.792	20000.0
54	97.449	63.761	22.899	50.564	0.385	0.809	30000.0
55	96.536	62.734	23.935	51.446	0.383	0.804	20000.0
56	95.233	62.856	23.15	50.759	0.395	0.806	20000.0
57	94.061	61.864	22.388	49.483	0.381	0.816	30000.0
58	97.368	63.928	23.46	51.386	0.403	0.801	40000.0
59	97.61	64.525	23.061	51.327	0.405	0.797	40000.0
60	95.952	63.256	22.945	51.085	0.402	0.801	20000.0
61	97.246	63.844	23.752	51.997	0.402	0.796	20000.0
62	97.342	63.412	23.399	51.902	0.407	0.789	20000.0
63	96.532	63.591	23.351	51.414	0.397	0.801	30000.0
64	98.534	64.749	23.534	52.3	0.4	0.793	30000.0
65	95.214	63.048	23.1	50.808	0.396	0.806	40000.0
66	96.612	64.124	22.869	51.661	0.408	0.795	40000.0
67	95.497	62.101	23.429	50.776	0.398	0.806	30000.0
68	95.703	62.851	23.143	50.872	0.398	0.802	20000.0
69	95.03	62.506	22.797	50.014	0.385	0.812	20000.0
70	92.874	61.001	22.139	49.052	0.383	0.815	20000.0
71	96.266	63.509	23.193	51.371	0.391	0.799	40000.0
72	96.726	63.108	23.404	50.794	0.401	0.806	20000.0
73	97.702	64.232	23.539	51.627	0.399	0.801	30000.0
74	97.661	64.458	24.096	52.898	0.406	0.792	30000.0
75	97.599	64.002	23.205	51.232	0.4	0.796	20000.0
76	98.37	64.194	23.83	51.831	0.402	0.799	20000.0
77	97.764	64.055	23.442	50.953	0.402	0.805	20000.0
78	96.535	63.241	23.086	51.267	0.395	0.798	30000.0
79	96.44	63.594	23.026	51.602	0.395	0.797	20000.0
80	98.023	64.565	23.304	51.487	0.403	0.801	30000.0
81	95.509	63.211	23.686	51.962	0.401	0.794	30000.0
82	100.038	65.729	24.124	52.549	0.409	0.795	20000.0
83	97.235	63.613	23.245	51.378	0.398	0.799	20000.0
84	96.343	63.615	23.509	51.491	0.401	0.801	20000.0
85	95.946	63.323	22.708	50.663	0.394	0.804	30000.0
86	95.148	62.616	22.799	50.813	0.389	0.805	40000.0
87	95.055	62.718	22.729	51.105	0.393	0.799	40000.0
88	95.688	63.311	23.179	51.477	0.4	0.797	30000.0
89	97.582	64.289	23.212	51.003	0.4	0.803	30000.0
90	94.413	61.785	22.744	49.745	0.389	0.812	30000.0
91	99.855	65.359	24.157	52.824	0.412	0.789	50000.0
92	95.521	62.185	22.565	49.795	0.381	0.815	30000.0
93	95.388	62.423	22.988	50.318	0.391	0.808	20000.0
94	95.063	62.575	22.531	50.143	0.391	0.808	20000.0
95	97.836	64.254	23.284	51.865	0.399	0.796	40000.0
96	98.223	64.336	23.436	51.737	0.413	0.792	30000.0
97	96.927	64.427	24.002	52.554	0.405	0.794	30000.0
98	95.588	63.066	23.257	51.404	0.391	0.799	20000.0
99	94.215	62.117	22.914	50.403	0.392	0.812	20000.0
100	96.969	63.892	23.048	51.462	0.398	0.798	20000.0
