De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 48-A, Signature CN2 (20.68%) & Signature CN8 (19.28%) & Signature CN17 (21.46%) & Signature CN19 (19.72%) & Signature CN20 (18.86%), 22.59,  20.71, 0.117, 0.98, 0.97
Signature 48-B, Signature CN9 (60.84%) & Signature CN20 (20.04%) & Signature CN24 (19.12%), 49.00,  40.08, 0.243, 0.92, 0.88
