Samples	CNV48A	CNV48B
PD53330a	0	150
PD53332a	33	211
PD53332c	0	362
PD53333a	230	4
PD53333c	197	12
PD53333d	220	8
PD53333e	191	6
PD53343a	142	0
PD53343c	171	0
PD53343d	226	0
PD53343e	258	10
PD53343f	176	1
PD53343g	180	0
PD53347a	293	6
PD53349a	166	7
PD53349c	157	32
PD53350a	237	4
PD53350c	283	12
PD53352a	166	8
PD53352c	168	5
PD53355a	177	16
PD53357a	166	16
PD53359a	143	8
PD53364a	225	35
