NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	56.716	28.01	13.985	24.855	0.097	0.953	40000.0
2	60.152	29.325	15.136	26.007	0.095	0.951	30000.0
3	56.543	28.058	14.532	25.843	0.1	0.948	40000.0
4	55.621	27.578	13.924	24.777	0.094	0.953	30000.0
5	55.199	26.618	13.446	23.086	0.093	0.963	30000.0
6	56.96	28.195	14.469	25.605	0.095	0.95	30000.0
7	59.913	28.838	15.508	26.196	0.101	0.948	30000.0
8	58.456	28.802	15.099	25.741	0.095	0.953	30000.0
9	56.403	27.545	14.054	24.234	0.094	0.957	30000.0
10	57.588	28.108	14.331	24.451	0.096	0.954	20000.0
11	54.358	26.606	13.474	23.544	0.085	0.958	20000.0
12	56.37	27.606	14.253	24.849	0.093	0.952	40000.0
13	59.688	29.116	14.985	26.01	0.097	0.948	40000.0
14	58.337	28.714	14.637	25.66	0.097	0.951	30000.0
15	55.439	27.387	13.104	23.312	0.093	0.956	50000.0
16	58.034	28.237	15.195	25.941	0.092	0.95	40000.0
17	53.538	26.425	13.348	23.441	0.091	0.959	20000.0
18	59.533	29.112	15.42	26.105	0.101	0.948	20000.0
19	55.779	27.16	14.54	25.256	0.087	0.952	20000.0
20	57.305	28.006	14.678	26.106	0.093	0.948	40000.0
21	57.342	27.684	14.588	25.275	0.091	0.954	30000.0
22	58.689	28.863	15.364	26.415	0.095	0.949	30000.0
23	59.536	28.79	15.08	26.301	0.097	0.949	30000.0
24	61.54	30.09	16.234	28.421	0.1	0.938	20000.0
25	54.359	26.915	13.346	23.762	0.091	0.956	50000.0
26	58.12	28.556	14.728	25.554	0.098	0.955	20000.0
27	56.91	28.255	14.367	25.583	0.095	0.95	50000.0
28	56.939	27.977	14.748	25.586	0.092	0.952	30000.0
29	56.505	27.695	14.67	25.121	0.091	0.955	30000.0
30	56.319	27.108	14.598	25.049	0.087	0.957	30000.0
31	61.403	30.283	15.573	27.379	0.104	0.943	30000.0
32	62.024	30.637	15.385	26.914	0.105	0.947	40000.0
33	56.851	28.158	14.109	24.582	0.094	0.954	30000.0
34	56.013	27.492	14.103	24.68	0.093	0.954	30000.0
