MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI	SBSCNVJ
0:homdel:0-100kb	2.1986538790486065e-07	1.9308602620782266e-07	1.7970903222419564e-07	0.0005707280035961793	3.5661839294931495e-07	0.004218025795524625	0.000686017828046488	2.1431766160873168e-07	2.8912466384554135e-05	0.00041398249136406664
0:homdel:100kb-1Mb	2.1124995962296113e-07	1.9582843648890958e-07	2.0707909456518792e-07	0.0002749531287228057	3.7787051656579604e-07	0.003408670773204534	0.0005927379658972853	2.3993355270590654e-07	5.758966660764031e-05	0.0003934199027285246
0:homdel:>1Mb	4.5626468207160544e-07	4.941167958349979e-07	3.504959871492019e-07	3.837088658187326e-07	7.854238469917618e-07	3.508946851660255e-07	5.712381012301649e-07	4.250766792785604e-07	3.3323187446754334e-07	6.386580670181274e-07
1:LOH:0-100kb	0.01990553417422234	0.00974107494315831	0.024547021836042404	0.022268665672745557	0.014104209881669477	0.012147037090326194	0.008527943607847704	0.014147777448258694	0.0031563170203200742	0.02215017643989995
1:LOH:100kb-1Mb	0.005520993769168854	0.025101989111863076	0.04795036058872938	0.01249523164529819	0.02967781751041173	0.020306543614715337	0.02212072246475145	0.012674382743916822	0.032029333610553296	0.02483120382297784
1:LOH:1Mb-10Mb	0.0007819269878280011	0.014628926897473775	0.06932057578116656	0.016762490506879998	0.008855476451642232	0.0034589962044367438	0.01568727056918192	0.011886826337658363	0.017714429039042443	0.022182693449462932
1:LOH:10Mb-40Mb	0.00023950444883170442	1.5854035378737308e-07	0.05601698919445653	0.0021315745967765264	2.8608697032694864e-07	6.540123715481627e-08	0.0001430395894319325	9.238842138650227e-05	2.82411922682968e-07	0.005624711464114469
1:LOH:>40Mb	0.0020674781823382914	0.00490836215123835	0.03160037688910961	0.005104361087492179	0.0002367410732668418	0.0047098136825746905	0.0014266459880676052	0.0009018254841811313	1.6930519887381478e-07	0.011027333208828906
2:LOH:0-100kb	0.0003014799165862314	0.005780848067635986	0.009390062499156783	0.010052134606431763	0.009086459564060193	0.0019402936153096561	0.009861308812393759	0.008575782491182054	1.2296990206550618e-07	0.003676976350505825
2:LOH:100kb-1Mb	0.007891355643027963	0.035175271513162444	0.027139539737153485	0.04669679169077426	0.028395992994192057	0.027771583114517853	0.020129478630551603	0.037461471517384555	0.0032389858656256365	0.02131605907933988
2:LOH:1Mb-10Mb	0.0017629807770123307	0.06583357197866008	0.013874902876051181	0.10452519472675817	0.016230106021851043	0.10194732035137805	0.05734702940665784	0.03927666493826791	2.7125412032091844e-08	0.029234290304003707
2:LOH:10Mb-40Mb	0.008202170937322536	0.000695610115025147	0.012128621305385466	0.03659045649296786	0.036468412847709714	0.010417694422084196	0.061896336279211255	0.04485164485515787	3.9519436931811924e-08	0.01401966640441133
2:LOH:>40Mb	0.013717584497030018	0.0058635458219401925	0.00033973947925202807	0.005603511690822813	0.0368618349914658	0.0026768768263684705	0.011209705148709758	0.01969173144742058	0.007691897796466947	0.005601712130052192
3-4:LOH:0-100kb	0.002996708969328097	0.01528859332967329	0.0010108633917847954	0.006475167439495806	0.009359746929148968	0.00022316782247543186	0.001076926237153515	0.012464453586141531	0.0029207708687270183	0.0026377471486220827
3-4:LOH:100kb-1Mb	0.015002596148960948	0.023351296012406236	0.004795322446095724	0.017036693707582914	0.01087335704606346	0.0009877465017029863	0.011496318726281487	0.026167797846840698	0.03419832681727712	0.009124264816425977
3-4:LOH:1Mb-10Mb	0.019191136071458458	0.07837584292783503	0.004854253579655108	0.030151231913333198	0.01172300363802151	0.0020603594077169872	0.01249853060376381	0.031064506528841917	0.0777046437934041	0.01588555568256993
