MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD
0:homdel:0-100kb	4.672160707361872e-05	0.0018930771785814215	2.0019024717043975e-07	0.0005464939899292176
0:homdel:100kb-1Mb	3.139846896844434e-05	0.001496014538618482	1.9507155130327192e-07	0.0004974999867977203
0:homdel:>1Mb	5.79875982680278e-07	4.1702110280539274e-07	3.9117617120609796e-07	3.5883420764548644e-07
1:LOH:0-100kb	0.017811376618919895	0.012245801036478952	0.024009881382808088	0.005445759791774378
1:LOH:100kb-1Mb	0.011212725611403584	0.022472518598660826	0.042451003696769476	0.024562242680694908
1:LOH:1Mb-10Mb	0.003230521493096603	0.01154929659620393	0.06417455907911063	0.010311778715113178
1:LOH:10Mb-40Mb	1.7616217952820535e-07	1.2254067592643027e-07	0.04262129144743085	3.261626491379843e-07
1:LOH:>40Mb	0.001244162821370729	0.004112047172363588	0.027678318209946155	0.0003432563584616943
2:LOH:0-100kb	0.006167935550312791	0.005030509146363613	0.010296160569414497	4.191370677020245e-06
2:LOH:100kb-1Mb	0.02274871145840734	0.03923800863325596	0.029269080106168986	0.0023449082339917736
2:LOH:1Mb-10Mb	0.018222260893059852	0.11579305671155453	0.021687043197453022	4.169322984637347e-08
2:LOH:10Mb-40Mb	0.032314642230048776	0.017307590155203625	0.01818554259953089	0.0003190827011198949
2:LOH:>40Mb	0.02076922499574721	0.00457208330307381	0.0009111303215130695	0.008188405454591817
3-4:LOH:0-100kb	0.00886339407414198	0.005436921789134956	0.0012749027248649015	0.0020169885853234958
3-4:LOH:100kb-1Mb	0.015600543900764024	0.010719087491743266	0.006364397659854149	0.025287839728407563
3-4:LOH:1Mb-10Mb	0.023520091362297536	0.03056428101263009	0.006403450716214252	0.05186658941209316
3-4:LOH:10Mb-40Mb	0.005422613367409212	0.007961026245320682	0.002730993873265106	0.028253612229600548
3-4:LOH:>40Mb	0.002285271008098135	0.005708109500317464	0.00165298191622119	0.00822137413113964
5-8:LOH:0-100kb	0.0026013284394648295	0.00036067576969250225	1.0363887072983858e-07	0.0060977788454665924
5-8:LOH:100kb-1Mb	0.0024186704532968405	0.0009941827458764152	2.5860589145665358e-08	0.014812061723787337
5-8:LOH:1Mb-10Mb	0.0014211356434650924	0.00025885884415771443	5.104609776651614e-08	0.016833888139808552
5-8:LOH:10Mb-40Mb	1.8815476909406279e-07	2.8956230159709053e-05	0.0017090756149939778	0.00650842061008234
5-8:LOH:>40Mb	1.166550060356819e-05	3.139402091782984e-05	2.891821637263092e-07	0.004843181410235502
9+:LOH:0-100kb	0.0003299764064706778	1.8038675996479015e-07	2.419709421275229e-07	0.000532458553260824
9+:LOH:100kb-1Mb	0.0028153792624192775	0.011754740583279926	5.154904318516174e-08	0.0014786761477938626
9+:LOH:1Mb-10Mb	0.00047720551984141625	0.0007799908693586132	2.281684531535433e-07	2.1696013696725913e-07
9+:LOH:10Mb-40Mb	2.9688456089083103e-07	2.5177940059961657e-07	3.4735873441604784e-07	0.000935384078105983
9+:LOH:>40Mb	5.79875982680278e-07	4.1702110280539274e-07	3.9117617120609796e-07	3.5883420764548644e-07
2:het:0-100kb	0.020077262595295905	0.01249743732952993	0.02449676747433841	0.0037533901556938564
2:het:100kb-1Mb	0.007727724972154277	0.012102312031202019	0.07033340744674206	0.0032101264468386327
2:het:1Mb-10Mb	8.705203276438312e-05	0.006799413290946746	0.18797033190727233	2.009910268591618e-05
2:het:10Mb-40Mb	0.0013885028515339749	1.7061365907178327e-06	0.09514355704188347	0.00068613928897439
2:het:>40Mb	8.661494032979038e-06	0.0010557889312438995	0.04645732425153255	9.695572721764023e-05
3-4:het:0-100kb	0.03854430748149753	0.030956768840551378	0.01933391929604113	0.025796977314166726
3-4:het:100kb-1Mb	0.08267361495643855	0.07106956094503403	0.038014846183359624	0.023801449090975382
3-4:het:1Mb-10Mb	0.19166874378919602	0.10173972904682159	0.09886860013008118	0.06490795436548069
3-4:het:10Mb-40Mb	0.167890595048666	0.06352937018498778	0.01679442066233605	0.027482837366405874
3-4:het:>40Mb	0.10560081526637077	0.08915297500789165	0.0003965665273394947	0.012165022021547216
5-8:het:0-100kb	0.03363395264372229	0.03507772570475936	0.013444914759602397	0.02686803687363863
5-8:het:100kb-1Mb	0.0427437580563128	0.04619316022843122	0.02234223804436624	0.053015806637704374
5-8:het:1Mb-10Mb	0.04475876121665351	0.03341922727806377	0.0365735730715096	0.20586745150387287
5-8:het:10Mb-40Mb	0.022437833132145216	0.0017191677646769675	0.007662946756817348	0.12912492044270038
5-8:het:>40Mb	0.010242282774997875	0.01085910743101472	2.489398180927083e-09	0.022237440245226024
9+:het:0-100kb	0.019363883619662375	0.03254885860718787	0.0058797590737231075	0.0050562948169512725
9+:het:100kb-1Mb	0.007152638075494906	0.09637948274612426	0.011172634356771596	0.07998527113348246
9+:het:1Mb-10Mb	0.004430519381496651	0.04458831961999749	0.0026422233331962986	0.08970521595329047
9+:het:10Mb-40Mb	2.9629865476721308e-08	3.3237156911170016e-08	0.0010493245693076858	0.004835893575729386
9+:het:>40Mb	2.8099269395731595e-07	2.39038455909224e-07	3.1728409211950747e-07	0.0011295424705465961
