De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 48-A, Signature CN2 (22.04%) & Signature CN6 (13.80%) & Signature CN8 (28.10%) & Signature CN17 (36.06%), 23.22,  19.72, 0.083, 0.98, 0.97
Signature 48-B, Signature CN1 (25.82%) & Signature CN7 (16.14%) & Signature CN9 (58.04%), 38.15,  35.96, 0.142, 0.93, 0.91
