NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	51.297	24.861	13.267	22.63	0.076	0.961	20000.0
2	56.131	27.397	14.249	24.599	0.088	0.953	30000.0
3	52.183	25.633	13.244	22.966	0.078	0.96	20000.0
4	56.873	27.864	14.52	25.41	0.089	0.952	60000.0
5	54.009	26.766	14.079	24.901	0.085	0.953	20000.0
6	55.103	27.202	14.329	25.005	0.088	0.954	80000.0
7	52.85	26.498	13.659	24.517	0.083	0.952	20000.0
8	53.278	25.77	13.468	23.284	0.08	0.96	30000.0
9	55.65	27.184	14.389	24.964	0.083	0.954	30000.0
10	55.598	27.069	14.023	24.346	0.089	0.958	30000.0
11	53.222	25.837	12.982	22.408	0.082	0.963	30000.0
12	54.604	26.647	14.264	24.501	0.085	0.954	30000.0
13	52.174	25.791	12.558	22.551	0.085	0.96	20000.0
14	55.457	27.011	13.811	23.561	0.089	0.96	30000.0
15	54.445	26.955	13.332	24.01	0.086	0.953	40000.0
16	50.817	24.861	12.915	22.667	0.08	0.962	40000.0
17	53.672	26.288	13.489	23.462	0.086	0.958	20000.0
18	52.772	25.735	14.128	24.387	0.083	0.957	20000.0
19	53.358	26.037	13.067	22.836	0.087	0.961	30000.0
20	52.5	26.143	13.107	23.133	0.091	0.962	40000.0
21	51.032	24.772	12.561	22.219	0.077	0.963	40000.0
22	51.375	25.182	13.165	22.99	0.073	0.961	20000.0
23	52.949	25.949	13.583	23.498	0.084	0.96	40000.0
24	52.432	25.507	13.021	22.34	0.081	0.963	50000.0
25	51.894	25.466	12.897	23.003	0.084	0.959	40000.0
26	52.796	25.813	13.538	23.627	0.084	0.956	20000.0
27	51.768	25.479	12.709	22.508	0.086	0.959	30000.0
28	53.341	26.008	13.273	23.26	0.079	0.958	40000.0
29	53.745	26.123	13.417	23.255	0.079	0.96	20000.0
30	53.353	25.881	13.34	23.014	0.082	0.959	20000.0
31	52.397	25.398	13.367	22.583	0.078	0.963	30000.0
32	54.457	26.69	13.679	24.373	0.089	0.954	40000.0
33	54.567	26.795	13.443	23.778	0.091	0.958	30000.0
34	53.665	26.226	13.167	22.988	0.086	0.961	20000.0
35	55.405	27.614	13.75	24.251	0.095	0.952	30000.0
36	57.804	27.999	14.535	25.01	0.087	0.954	40000.0
37	54.428	26.616	13.757	24.145	0.083	0.957	40000.0
38	52.627	25.862	13.367	23.365	0.083	0.959	20000.0
39	53.607	26.209	13.452	23.333	0.08	0.961	20000.0
40	52.752	25.709	13.018	22.831	0.082	0.962	70000.0
41	55.395	27.673	13.995	24.896	0.092	0.954	40000.0
42	52.272	25.475	13.027	22.94	0.085	0.961	30000.0
43	57.193	27.881	14.504	24.793	0.087	0.956	30000.0
