NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	92.153	44.406	23.869	39.952	0.201	0.886	20000.0
2	90.776	43.555	23.157	39.158	0.201	0.887	40000.0
3	88.079	42.407	22.619	38.194	0.193	0.896	20000.0
4	94.088	45.201	24.362	41.141	0.212	0.878	20000.0
5	92.007	44.348	22.876	38.828	0.199	0.893	20000.0
6	92.233	44.539	22.814	39.034	0.209	0.889	30000.0
7	94.063	44.704	24.135	40.689	0.205	0.873	20000.0
8	89.521	42.724	22.47	37.901	0.197	0.897	30000.0
9	91.439	43.901	23.152	39.009	0.201	0.888	20000.0
10	95.327	45.648	24.478	41.35	0.211	0.871	30000.0
11	90.018	43.48	22.698	38.752	0.203	0.887	20000.0
12	94.4	44.97	25.517	42.14	0.209	0.872	20000.0
13	94.905	44.846	23.105	39.048	0.206	0.884	30000.0
14	93.884	45.024	23.812	39.706	0.211	0.886	20000.0
15	93.03	44.578	23.179	39.4	0.206	0.887	20000.0
16	89.544	42.861	22.871	38.295	0.196	0.892	20000.0
17	92.245	44.527	23.707	40.166	0.211	0.878	20000.0
18	93.067	44.048	23.507	39.554	0.203	0.884	20000.0
19	95.709	46.117	24.144	41.057	0.219	0.876	20000.0
20	92.686	44.312	22.866	38.596	0.209	0.892	40000.0
21	90.707	43.557	22.495	38.679	0.195	0.888	30000.0
22	93.367	44.765	23.711	39.574	0.202	0.884	20000.0
23	96.714	45.743	24.528	40.347	0.207	0.879	20000.0
24	93.165	44.743	24.157	40.057	0.203	0.884	20000.0
25	90.064	43.402	22.922	39.527	0.207	0.881	20000.0
26	93.403	44.619	24.007	39.789	0.209	0.884	20000.0
27	90.943	43.864	22.914	39.301	0.211	0.883	30000.0
28	94.617	44.828	23.831	39.837	0.205	0.881	20000.0
29	92.905	44.509	23.871	40.154	0.208	0.88	20000.0
30	92.875	44.229	23.407	39.564	0.195	0.884	20000.0
31	90.635	43.515	23.877	39.683	0.193	0.889	20000.0
32	88.757	42.67	21.815	37.683	0.197	0.895	20000.0
33	88.743	42.616	22.177	37.627	0.209	0.896	50000.0
34	92.099	44.166	22.762	38.323	0.206	0.893	40000.0
35	93.852	45.197	23.685	39.838	0.211	0.878	40000.0
36	96.285	45.832	25.07	41.815	0.219	0.871	20000.0
37	94.222	44.323	23.788	39.841	0.205	0.881	20000.0
38	95.416	45.524	24.418	40.875	0.212	0.871	30000.0
39	92.407	43.938	23.887	39.913	0.196	0.88	40000.0
40	92.036	44.336	22.866	39.099	0.202	0.889	20000.0
41	91.722	44.005	22.633	38.305	0.201	0.892	30000.0
42	90.513	43.618	23.371	39.924	0.21	0.879	20000.0
43	93.78	44.987	24.298	40.494	0.211	0.882	20000.0
44	95.208	45.84	24.238	41.02	0.217	0.879	20000.0
45	91.911	44.086	23.163	39.262	0.206	0.887	20000.0
46	90.208	43.225	22.599	38.107	0.2	0.895	20000.0
47	92.989	44.309	23.811	38.997	0.206	0.887	20000.0
48	91.829	44.238	23.872	40.105	0.197	0.882	20000.0
49	88.879	42.78	22.733	38.406	0.192	0.894	30000.0
