NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	54.117	34.919	13.217	29.205	0.142	0.94	30000.0
2	54.088	34.727	13.581	29.737	0.149	0.936	40000.0
3	54.445	34.598	13.76	30.127	0.148	0.935	20000.0
4	54.782	34.942	14.183	30.496	0.146	0.935	20000.0
5	53.384	34.325	13.334	29.191	0.146	0.937	40000.0
6	52.665	34.389	12.828	28.79	0.149	0.939	40000.0
7	52.797	33.924	13.187	29.138	0.143	0.939	30000.0
8	53.345	33.27	13.662	28.903	0.139	0.939	30000.0
9	53.028	34.125	12.973	28.698	0.148	0.937	30000.0
10	50.398	33.335	12.816	29.199	0.146	0.937	30000.0
11	53.41	33.624	13.066	28.287	0.14	0.942	20000.0
12	53.49	34.081	13.075	28.345	0.149	0.943	20000.0
13	52.667	33.932	13.216	29.209	0.144	0.938	20000.0
14	50.924	32.384	12.869	27.94	0.136	0.943	30000.0
15	53.596	34.672	13.354	29.129	0.149	0.938	20000.0
16	54.661	35.399	13.93	30.743	0.15	0.932	30000.0
17	51.22	33.54	12.706	28.275	0.147	0.941	30000.0
18	53.336	34.171	13.258	29.398	0.144	0.936	40000.0
19	50.939	33.309	12.64	28.381	0.14	0.942	30000.0
20	52.012	33.617	13.25	28.659	0.135	0.942	40000.0
21	51.992	33.227	12.734	27.646	0.145	0.946	30000.0
22	53.659	34.707	13.203	29.584	0.144	0.935	40000.0
23	50.796	31.839	12.463	26.814	0.129	0.948	30000.0
24	51.293	33.07	12.972	28.414	0.138	0.942	20000.0
25	53.961	34.292	13.494	29.324	0.141	0.941	20000.0
26	53.633	34.045	13.034	27.961	0.143	0.945	40000.0
27	53.245	33.715	12.878	27.974	0.146	0.942	40000.0
28	54.216	34.644	13.538	29.199	0.148	0.94	40000.0
29	55.572	35.624	13.773	29.872	0.151	0.937	50000.0
30	54.837	34.848	13.639	29.576	0.148	0.937	30000.0
31	52.65	34.044	13.168	29.033	0.147	0.938	20000.0
32	54.904	35.731	13.726	29.714	0.155	0.936	40000.0
33	56.439	36.342	13.98	30.91	0.156	0.936	30000.0
34	52.699	33.475	13.194	28.366	0.135	0.946	30000.0
35	56.218	35.795	14.304	30.871	0.158	0.932	30000.0
36	53.031	33.548	13.27	28.978	0.142	0.938	40000.0
37	52.98	33.862	13.181	28.504	0.146	0.943	30000.0
38	53.59	34.087	13.723	29.265	0.142	0.94	30000.0
39	53.964	35.168	13.265	29.649	0.156	0.936	40000.0
40	52.636	33.778	13.35	29.125	0.143	0.94	20000.0
41	52.672	34.108	12.886	28.539	0.144	0.939	30000.0
42	53.897	34.989	13.514	29.898	0.145	0.936	50000.0
43	54.247	34.493	13.405	29.13	0.143	0.941	30000.0
44	53.252	34.077	13.272	28.748	0.141	0.941	20000.0
45	55.261	35.389	13.636	30.179	0.151	0.933	20000.0
46	52.702	33.762	12.921	27.976	0.145	0.945	30000.0
47	53.901	35.426	13.791	30.751	0.156	0.931	20000.0
48	52.155	33.758	12.626	28.264	0.144	0.941	20000.0
49	55.148	35.246	13.935	29.865	0.146	0.939	30000.0
50	52.946	33.624	13.135	28.407	0.142	0.944	50000.0
51	51.915	33.732	12.855	28.238	0.146	0.943	40000.0
52	53.654	34.216	13.824	30.19	0.143	0.934	30000.0
53	52.508	33.953	12.868	28.489	0.145	0.943	30000.0
54	54.688	34.639	13.721	29.462	0.143	0.938	20000.0
55	53.455	33.864	13.663	29.931	0.14	0.936	30000.0
56	56.529	36.453	14.506	31.879	0.157	0.925	30000.0
57	55.364	34.594	13.673	29.57	0.144	0.939	40000.0
58	52.623	33.476	13.024	28.45	0.138	0.941	30000.0
59	55.046	34.822	14.092	30.349	0.137	0.936	20000.0
60	50.085	32.09	12.382	27.061	0.135	0.947	20000.0
61	50.935	32.635	12.732	28.059	0.135	0.945	30000.0
62	51.19	33.214	12.419	27.683	0.144	0.942	30000.0
63	50.886	32.886	12.466	27.328	0.14	0.947	30000.0
64	54.265	35.294	13.742	30.415	0.15	0.932	30000.0
65	54.132	34.783	13.103	28.771	0.151	0.941	50000.0
66	53.436	34.411	13.087	28.959	0.15	0.941	20000.0
67	54.864	35.045	13.348	29.28	0.148	0.939	50000.0
68	54.719	35.217	13.978	30.475	0.152	0.933	20000.0
69	53.568	34.297	13.3	28.824	0.144	0.94	40000.0
70	53.634	33.986	13.032	28.814	0.144	0.938	30000.0
71	53.281	34.138	13.379	29.715	0.145	0.936	30000.0
72	53.778	34.263	13.151	28.316	0.145	0.943	40000.0
73	53.177	34.36	13.258	30.032	0.147	0.933	20000.0
74	52.543	34.023	13.041	28.934	0.145	0.94	50000.0
75	49.821	32.324	12.054	27.067	0.137	0.944	30000.0
76	53.561	34.735	13.096	28.768	0.153	0.942	30000.0
77	53.046	34.333	13.099	29.224	0.145	0.937	50000.0
78	52.281	33.082	13.205	28.593	0.137	0.942	20000.0
79	54.789	34.681	13.91	30.264	0.145	0.933	20000.0
80	52.644	33.639	12.887	28.148	0.137	0.945	30000.0
81	56.366	35.816	14.068	30.377	0.155	0.933	20000.0
82	55.439	35.691	13.528	30.452	0.153	0.932	30000.0
83	55.814	34.786	14.389	30.313	0.143	0.935	30000.0
84	56.499	35.836	13.532	29.429	0.158	0.939	30000.0
85	51.503	33.447	13.037	28.969	0.143	0.939	60000.0
86	53.474	34.842	13.208	29.713	0.157	0.934	30000.0
87	51.386	32.856	12.543	27.812	0.143	0.944	30000.0
88	52.023	33.266	12.533	27.447	0.146	0.946	40000.0
89	51.664	32.809	12.998	28.072	0.135	0.943	20000.0
90	56.129	36.212	14.226	30.808	0.157	0.934	30000.0
91	55.637	35.362	13.287	29.163	0.157	0.936	60000.0
92	55.474	35.22	13.578	29.548	0.149	0.937	50000.0
93	54.345	34.756	13.661	30.103	0.153	0.934	80000.0
94	54.65	35.323	13.882	30.79	0.152	0.93	70000.0
95	52.139	33.604	12.787	28.657	0.144	0.94	20000.0
96	57.284	35.327	14.319	30.329	0.147	0.935	40000.0
97	52.995	33.636	13.15	28.826	0.142	0.941	30000.0
98	51.594	32.686	12.451	27.78	0.135	0.943	30000.0
99	54.308	34.28	13.221	28.862	0.146	0.94	30000.0
100	52.803	34.032	13.375	29.274	0.138	0.939	30000.0
